Date,Fiscal_Year,Month,Operation_ID,Site,Cost_Category,Cost_Subcategory,Description,Quantity,Unit,Unit_Cost,Total_Cost,Vendor,Production_Phase,Pig_Group_ID,Notes
4/13/2025,2025,4,OP-2025-001,Site A,Facilities,Utilities,Utilities expense,92.53,unit,35.2,3257.06,VetHealth Inc,Finishing,PG-5426,Dummy data for student testing
3/29/2025,2025,3,OP-2025-001,Site B,Labor,Payroll Burden,Payroll Burden expense,11.27,unit,43.66,492.05,VetHealth Inc,Gilt Development,PG-6051,Dummy data for student testing
10/4/2025,2025,10,OP-2025-001,Site A,Feed,Feed Delivery,Feed Delivery expense,306.21,unit,0.81,248.03,AgriFeed Co,Finishing,PG-3558,Dummy data for student testing
6/19/2025,2025,6,OP-2025-001,Site C,Facilities,Barn Supplies,Barn Supplies expense,183.81,unit,20.8,3823.25,Midwest Transport,Gilt Development,PG-8734,Dummy data for student testing
9/1/2025,2025,9,OP-2025-001,Site A,Feed,Finisher Feed,Finisher Feed expense,430.11,unit,30.77,13234.48,VetHealth Inc,Gilt Development,PG-9792,Dummy data for student testing
11/12/2025,2025,11,OP-2025-001,Site B,Transportation,Market Delivery,Market Delivery expense,193.32,unit,1.21,233.92,Farm Services LLC,Gilt Development,PG-6486,Dummy data for student testing
9/21/2025,2025,9,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,454.75,unit,12.02,5466.1,VetHealth Inc,Gilt Development,PG-8989,Dummy data for student testing
7/10/2025,2025,7,OP-2025-001,Site B,Animal,Gilt Development,Gilt Development expense,225.43,unit,18.08,4075.77,Farm Services LLC,Breeding,PG-8869,Dummy data for student testing
10/23/2025,2025,10,OP-2025-001,Site B,Labor,Hourly Labor,Hourly Labor expense,136.4,unit,37.38,5098.63,AgriFeed Co,Gilt Development,PG-7331,Dummy data for student testing
2/10/2025,2025,2,OP-2025-001,Site A,Labor,Payroll Burden,Payroll Burden expense,83.47,unit,1.2,100.16,AgriFeed Co,Gilt Development,PG-3695,Dummy data for student testing
3/4/2025,2025,3,OP-2025-001,Site A,Health,Medications,Medications expense,353.72,unit,32.94,11651.54,Midwest Transport,Breeding,PG-4561,Dummy data for student testing
8/19/2025,2025,8,OP-2025-001,Site B,Animal,Weaned Pig Purchase,Weaned Pig Purchase expense,457.56,unit,38.33,17538.27,AgriFeed Co,Gilt Development,PG-3454,Dummy data for student testing
3/3/2025,2025,3,OP-2025-001,Site C,Labor,Payroll Burden,Payroll Burden expense,296.06,unit,12.73,3768.84,AgriFeed Co,Finishing,PG-9110,Dummy data for student testing
5/11/2025,2025,5,OP-2025-001,Site C,Feed,Sow Feed,Sow Feed expense,281.08,unit,34.81,9784.39,Midwest Transport,Breeding,PG-1206,Dummy data for student testing
1/15/2025,2025,1,OP-2025-001,Site C,Animal,Gilt Development,Gilt Development expense,220.23,unit,9.48,2087.78,AgriFeed Co,Gilt Development,PG-6116,Dummy data for student testing
4/6/2025,2025,4,OP-2025-001,Site C,Facilities,Repairs & Maintenance,Repairs & Maintenance expense,70.53,unit,27.4,1932.52,Midwest Transport,Breeding,PG-2059,Dummy data for student testing
1/13/2025,2025,1,OP-2025-001,Site B,Overhead,Professional Services,Professional Services expense,347.7,unit,39.68,13796.74,Utility Provider,Nursery,PG-3693,Dummy data for student testing
10/11/2025,2025,10,OP-2025-001,Site C,Facilities,Barn Supplies,Barn Supplies expense,94.1,unit,40.22,3784.7,VetHealth Inc,Finishing,PG-6592,Dummy data for student testing
8/19/2025,2025,8,OP-2025-001,Site A,Transportation,Pig Hauling,Pig Hauling expense,136.79,unit,29.32,4010.68,Farm Services LLC,Breeding,PG-6864,Dummy data for student testing
9/16/2025,2025,9,OP-2025-001,Site A,Overhead,Software & Technology,Software & Technology expense,255.86,unit,19.07,4879.25,AgriFeed Co,Finishing,PG-1663,Dummy data for student testing
11/11/2025,2025,11,OP-2025-001,Site A,Transportation,Market Delivery,Market Delivery expense,259.88,unit,31.78,8258.99,AgriFeed Co,Nursery,PG-2291,Dummy data for student testing
10/22/2025,2025,10,OP-2025-001,Site A,Animal,Genetics/Semen,Genetics/Semen expense,151.14,unit,13.18,1992.03,Midwest Transport,Breeding,PG-5737,Dummy data for student testing
8/8/2025,2025,8,OP-2025-001,Site C,Transportation,Pig Hauling,Pig Hauling expense,140.04,unit,40.92,5730.44,VetHealth Inc,Breeding,PG-2707,Dummy data for student testing
